COD_RUBRICA;DESCR_RUBRICA
186;DIF. VENCTOS EXERC. ANTERIORES
186;DIF. VENCTOS ANTERIORES
187;GRAT.APOIO LEG.
188;GRAT.APOIO LEG.PERM.
189;C.J.L.
190;1/3 FERIAS
191;DIF.FERIAS
192;DEVOLUCAO DESC. INDEVID BASE
193;VERBA REPRESENTACAO
194;RESOL.20/97 - CLT
195;H.EXTRA 36%
196;H.EXTRA 12%
197;H.EXTRA 50%
198;HORA EXTRA C/ADIC.NOTUR
199;HORA EXTRA
200;DIF VENC AÇÃO EXERCÍCIO ATUAL
200;DIF VENC ACAO
201;D.VENC.ACAO 62%
202;Dif. de 13o. anos anteriores
203;DIF. VENCIMENTO AÇÃO EXERC. ANTERIOR
203;DIF VENC AÇÃO EXERC. ANTERIOR
204;Adicional de Raio X - AÇÃO JUDICIAL
205;Dif. remuneração DM 1022 e 1331/11
206;Dif. Ajuda Custo DM 1022 e 1331/11
207;Dif. Verba Represent. DM 1022 e 1331/11
208;Dif. Remuneração Adicional DM 1022 e 1331/11
209;Dif. remuneração DM 1331/11
210;HORA EXTRA NOT. ESTATUT
211;DEVOLUCAO DE FALTAS
212;AD.TEMPO SERV. L.13637 até 21/08/09
213;SEXTA PARTE pós 21/08/09
213;SEXTA PARTE PÓS 31/12/03
214;GLIEP pós 21/08/09
215;FG-1 Média até 21/08/09- apos. Ñ Perm.
216;FG-2 Média - apos. Ñ Perm.
217;FG-3 Média - apos. Ñ Perm.
218;FG-4 Média até 21/08/09- apos. Ñ Perm.
219;FG-1 Permanente - até 21/08/09
220;FG-2 Permanente
221;FG-3 Permanente - até 21/08/09
222;FG-4 Permanente
223;P. Assecuratória- art. 8º Ato 1142/11
224;Memo restituição tesouraria
225;Devolução art. 37,XI - BP - anos anteriores
226;Devolução art. 37,XI - Ñ BP - anos anteriores
227;ATS ATÉ DEZ/03 PÓS L.13637/03 - SÓ IPREM
227;ATS ATÉ DEZ/03 PÓS L.13637/03
228;GNA - atribuída p/ vereador ñ base
229;ATS ATÉ DEZ/03 PÓS L.13637/03
230;Auxílio transporte mês anterior
231;Devol IPRED 13º
232;Dev IPRED
233;Devol SPPREV 13º
234;Devolução RioPretoPrev Segurado 13º
235;DEVOLUCAO DE SUSPENSAO
238;Atualização monetária
239;Atualização monetária não BP
243;H.EXTRA 100% C/AD.NOT.E
244;1/3 FERIAS comissionado
245;Hora Extra 50% - Estatutario
246;Hora Extra 100% - Estatutario
247;Hora Extra 50%
248;Hora Extra 100%
249;Hora Extra 50%
250;Hora Extra 100%
251;AUXILIO FUNERAL CREDITO
252;Devolução de Previdência - INSS
253;GAL CONTINUA
254;Convênio - Serviço Funerário
255;Devol (mês ant) Previdência - INSS
256;Devolução SPPREV
257;Devolução RioPretoPrev Segurado
260;FERIAS EM DOBRO
265;Devol. IPREM 13º salário
266;DEVOLUCAO ART.37,INC.XI sem Previdência
267;SAL.ESPOSA C/COM.
268;DEVOLUCAO PREV.SOCIAL
269;DEVOLUÇÃO  DE PREVIDÊNCIA DE 13º
270;SALARIO-PADRAO COMISSIO
271;Devolução IRRF s/ 13º salário
271;DEV.IMPOSTO RENDA 13.SA
272;GRAT.ESP.ASS.PERMANENTE
273;DIFERENÇA SEXTA-PARTE
274;1/3 FERIAS C/C
275;DIF.GRAT.GABINETE ANTER
276;GRAT.APOIO LEG.ATRIBUID
277;DEVOLUCAO ART.37,INC.XI BP
278;VH L.13400/02 - P.Fixa Ação
279;GRAT.ESP.ASSESS.PARTE F
280;GRAT.ESP.ASS.PERM.PARTE
281;ADICIONAL NOTURNO ESTAT
282;DIFERENCA DE REMUNERACA
283;AUXILIO-TRANSPORTE
284;GRAT.GAB.INCORPORADA BP
285;PARCELA FIXA
286;AD.TEMPO SERV. PÓS 31/12/03
286;ADIC. TEMPO SERV LEI 13637/03
286;ADIC.TEMPO SERVIÇO pós 21/08/09
287;FUNÇAO GRATIFICADA FG-1
287;FG-1 não BP
288;FUNÇAO GRATIFICADA FG-2
288;FG-2 não BP
289;FUNÇAO GRATIFICADA FG-3
289;FG-3 não BP
290;FUNÇAO GRATIFICADA FG-4
290;FG-4 não BP
291;GRAT.NIVEL ASSESS.- GNA BP - GV
292;GRAT.PM LEIs 13749/04, 15714/13 e 16467/16
293;DIF. G.N.A BP
294;DIF.GRAT.PM LEI 13749
295;ADIC NOTURNO LEI 13637/
296;ACAO JUDICIAL
297;FERIAS PROPORCIONAIS
298;DIF. VENCTOS 3
299;DIF. VENTOS 4
300;DEV.DESC.INDEVIDO NÃO BASE
300;DEV.DESC.INDEVIDO 2 NÃO BASE
301;HORA EXTRA ESTATUTARIO
302;GRAT.ESPECIAL BPREV. MES ATUAL
303;ABONO PERMANENCIA L.139
304;DIF.ABONO PERMANENCIA L.13973
305;GRAT.GCM LEI 14043/05 BPREV
306;FERIAS INDENIZADAS 2
307;1/3 FERIAS INDENIZADAS
308;GAL PERM. COMISSIONADOS
309;DIF.ANT. AB. PERM. L.13973
310;GNA - comissionados - art 31 L 13637/03
311;Diferença de GNA
312;ABONO PERMANENCIA DE 13º
313;FG-1 B IPREM
314;FG-2 B IPREM
315;FG-3 B IPREM
316;FG-4 B IPREM
317;ADIC.INSAL.
318;PARC.SUPLEM.
319;GLIEP até 21/08/09
319;GLIEP - Média
319;GLIEP BP
319;GLIEP BP até 21/08/09
320;Grat. 14.381/07Ato 974/07 BP
321;Dif.Hora Extra Estatutario
322;GLIEP (sem prev)
323;Grat. 14.381/07 Ato 974/07 (sem prev)
324;Gratificação Gabiete Permanente
325;Gratificação Gabinete Continua
326;Gratificação Gabinete Incorporada
327;DIF.GLIEP BP
328;DIF.GLIEP (Sem Prev)
329;GRAT.GCM LEI 14043/05 e 15715/13
330;INTEGRACAO DE FERIAS (Fim)
331;DEVOL PREV. SOCIAL ANTERIORES
332;Imp. Recebida a Maior 13º Salário
333;DIF.VENC. (não base prev)
334;FG L 13.637/03 - Média - Aposentados
335;DEVOL. CONSIG - INDEVIDA / MAIOR
336;Grat. PM / GCM - Substituição
337;PARC. SUPLEMENTAR C. COMISSÃO
338;Horas-aula Ato 1196/12
339;GNA - Administração BP
340;Parcela Suplementar CLT (irredutibilidade)
341;VHonorária L.13400/02 - P.Fixa Ação
342;PARC SUPLEMENTAR (sem prev)
343;Grat. Lei nº 13.637/03 Art. 36-A (sem prev)
344;Grat. Lei nº 13.637/03 Art. 36-B (sem prev)
345;Grat. Lei nº 13.637/03 Art. 36-C (sem prev)
347;FG-1 subst não BP
348;FG-2 subst não BP	
349;FG-3 subst não BP
350;FG-4 subst não BP
353;FG-1 subst B IPREM
354;FG-2 subst B IPREM	
355;FG-3 subst B IPREM
356;FG-4 subst B IPREM
358;GRAT.GAB.PERMANENTE
359;GRAT.GAB.PERMANENTE
360;GAL CONTINUA
361;ADICION. NOTURNO ESTAT BASE PREVID.
362;Devolução INSS 13º SALÁRIO
363;DEVOL. ABONO PERMAN. RECEBIDO A MAIOR
364;Diferença FG-2
365;Diferença FG-3
366;Diferença FG-4
367;FG-1 Média Aposentados NÃO Permanente
368;FG-2 Média Aposentados NÃO Permanente
369;FG-3 Média Aposentados NÃO Permanente
370;FG-4  Média Aposentados NÃO Permanente
371;Dev. Abono Perman. 13º salário
372;Dif. FG-2 não BP
373;Dif. FG-3 não BP
374;Dif. FG-4 não BP
380;Abono anual PASEP
381;AÇÃO TETO - Valor Irredutível
382;AÇÃO TETO - Vantagens 18dez2003
383;AÇAO TETO - Abate Teto
384;AÇÃO TETO - 13o. Valor Irredutível
385;AÇÃO TETO - 13o. Abate Teto
388;Gal.Per.
389;Diferença Salário Maternidade C/C
390;FG-1 PERMANENTE
391;FG-2 PERMANENTE
392;FG-3 PERMANENTE
393;FG-4 PERMANENTE
394;Dif. vencimento anteriores (não base prev.)
400;Contrib. Previd. Compl. do Servidor
401;I. R. R. F.
402;I.R.R.F. NAS FERIAS
403;I.R.R.F. DIF. FERIAS
404;I.R.R.F. S/ 13o SALARIO
405;I.R.R.F. DIF. 13o SALAR
406;I.R.R.F. S/ RESCISAO
407;I.R.R.F. s/  FERIAS RESCISAO
408;I.R.R.F s/  13o SALARIO
409;I.R.R.F. S/ DISTR.LUCRO
410;PREV.SOCIAL
411;PREV SOC.SOBRE 13o SALA
412;PREV.SOCIAL   13o
413;PREV. 13o SALARIO RESCI
414;IPREM
415;ADIANTAMENTO
416;ANTECIPACAO DE ENCARGOS
417;SPPREV
418;IPREV
419;SPPREV 13º
420;IPREV 13º
421;FALTAS INJUSTIFICADAS C mês anterior
422;Desc.Líquido da Complementar
423;ADIANTAMENTO S/ FERIAS
424;DESCTO PARCELA DE 13o S
425;DESCTO. ADIANT. 13o SAL
426;CONTRIBUICAO SINDICAL
427;LIQUIDO DE RESCISAO
428;INSUFICIENCIA MES ANTER
429;ARREDONDAMENTO MES ANTE
430;SINDSEP
431;SEGURO DE VIDA
432;VALE TRANSPORTE
433;CONTRIBUICAO ASSISTENCIAL
434;HOSP.SERV.PUB.MUN.
435;VALE REFEICAO
436;AUXILIO NATALIDADE
437;ADITAMENTO DE FERIAS
438;Diferença de Contribuição Sindical
439;FALTAS INJUST. ANTERIOR efetivos c.comissão
440;FALTAS JUST. ANTERIOR efetivos c.comissão
441;PENSAO ALIMENTICIA
441;Pensão Alimentícia Interna/Auxiliar - PAG MENSAL
442;PENSAO ALIM. S/ 13o SAL
443;PENSAO ALIM.NAS FERIAS
444;DIF.PENSAO ALIM.FERIAS
445;DIF.PENSAO ALIM.13o SAL
446;I.R.R.F. DIF. PART.LUCR
446;I.R.R.F. S/ 13o SALARIO
447;DESCTO. ADIANT. P.L.R.
448;I.R.R.F.  Anterior
449;Complemento Consignações
450;I.R.R.F.  DM 1022/11
451;INSS  DM 1022/11
452;IPREM  DM 1022/11
453;SPPREV  DM 1022/
454;Desc. Benefícios - ESTAGIÁRIOS
455;LÍQUIDO a creditar posteriormente
456;Taxa Assistencial - Sindilex
457;Licença Premio
458;Contr Prev Segurado - IPRED (Diadema - 11%)
459;Dev FÉRIAS INDEN E 1/3
460;Contr Prev Segur - CAMPREV (Campinas - 11%)
461;IRRF s/ RRA
462;Contribuição Previdenciária - INSS s/ RRA
463;Contr Prev Segur - SBCPREV (11%)
464;Contribuição Previdenciária - Estatutários s/ RRA
465;Pensão Alimentícia s/ RRA
466;Contr Prev Segur 13o - CAMPREV (Campinas - 11%)
467;Contr Prev Segur 13o - SBCPREV (11%)
468;Prevd 13o segurado RPPS (11%))
469;RioPretoPREV
470;RioPretoPREV 13º
471;IPMJ segurado
472;Corr. Monet. - aditam. férias
473;DSR PM/GCM
474;Falta Estagiários
475;Afastamento L 8989 art 49
476;IPMJ segurado 13º
477;Contrib. Previd. Compl. 13º salário do Servidor
481;VALE TRANSPORTE COMISSI
485;VALE ALIMENTAÇÃO
495;DESCTO. ADIANT. 13o SAL. (com FGTS)
496;CONTRIBUIÇÃO SINDICAL - 2009 a 2012
497;Contribuição Sindical Anos Anteriores
499;DEVOLUÇÃO DE FALTAS - DSR - CLT
500;FALTAS JUSTIFICADAS
501;RETIRADA ANTECIPADA
502;ATRASO MES ANTERIOR
503;FALTAS INJ.
504;CONT.ADIC.IPREM
505;EMPREST.HIPOTECARIO
506;MENSALIDADE ATRASADA
507;FEDERAL SEGUROS + 65 AN
508;CRACHA
509;FALTAS - DESCAN.SEM. REM - Mês Atual
510;DEDUC.SAL.MATERN.
511;AFASTAMENTO ART.49/LEI
512;Licença - Vereador
513;FALTA INJUST. MES ANTERIOR (INF)
514;FALTA JUSTIF. SEM RDP
515;Acerto GNA Gabinete - sem previdência
516;SUSP DISCIP ARTS 199/200 L8989/79
517;FALTAS exercícios anteriores
518;DESC. FALTAS SUCESSIVAS
519;IRM GLIEP BP
523;IRM-Acerto de vencimentos - mês anterior
525;IRM (sem prev)
530;RESOLUÇÃO Nº 4/2020 - ARTIGO 1º  INCISO I
533;INSS 13o SALARIO RESCIS
534;MULTA TRANSITO ANOS ANTE
540;Devolução Contribuição Sindical / Assistencial (NB)
541;DESPESAS DE HOSPITAL
542;CAPEMISA
543;PENHORA JUDICIAL 3
544;PENHORA JUDICIAL 4
545;ASS.SERV.PUBL.MUNIC.SP
546;CONTR.PARTID.PTB
547;MINAS BRASIL SEG.
548;FEDERAL SEGUROS
549;INVESTPREV
550;AFAST.OUTROS MOTIVOS
551;ACIDENTE DE TRANSITO
552;MULTA DE TRANSITO
553;Acerto de vencimentos
554;CONTA TELEFONICA
555;IMPORT.RECEB.A MAIOR
556;DESCONTOS DIVERSOS base
557;ASSOC.SERV.CMSP
558;SERVICO FUNERARIO
559;IMPORTANCIA REC.ANTEC.
560;DIF. PREVIDENCIA 13º SALARIO
561;SUSPENSAO
562;HOSP.SERV.PUBL.MUNIC.(V
563;CONTR.PART.PSDB
564;GREMIO BENEF.OFICIAIS E
565;LOCAL S/A CRED.FIN.INV.
566;AJUSTE DE APOSENTADORIA
567;Previd. Patronal  pgo p/ servidor -  Estatutários
568;Previd. Patronal  pgo p/ servidor -  Estatut. 13º
569;Acertos de GNA - IRM Ativos e Exonerados
570;ARTIGO 37 INC. XI CONST
571;ADIANTAMENTO ABONO
572;Eventos Prefeitura
573;ARTIGO 37 INC. XI CONST - 2
574;ARTIGO 37 INC. XI CONST 13º
575;Dev Abono Pecuniário (CLT)
576;Art. 37 Inc. XI Const - RRA
577;Penhora Judicial 2
578;INSS Anterior Segurado
579;IMPORT.RECEB.A MAIOR SUPLEMENTAR
580;Insuficiência de 13º salário
581;SPPREV Anterior Segurado
582;RioPretoPrev Anterior Segurado
583;HONORARIOS ADVOCATICIOS (CMSP)
584;ASCMSP ACORDO EXTRAJUDICIAL
585;IRM anos anteriores
586;Saldo de Dívida
587;DESCONTO LICENÇA ART 147 - INCISO I
588;DESCONTO LICENÇA ART 147 - INCISO II
589;DESCONTO LICENÇA ART 147 - INCISO III
590;NOBRE CLUBE DO BRASIL
591;COMPLEMENTO PREV.SOCIAL
592;CONTRIB.PART.PPS
593;HONORARIOS ADVOCATICIOS (PMSP)
593;HONORARIOS ADVOCATICIOS
594;FERIAS RECEBIDAS INDEVI
595;PREVIDENCIA ANTERIOR
596;IPREV ANTERIOR
597;PENHORA JUDICIAL
598;Depósito Judicial
599;Bloqueio Jud - Dep em Juízo
600;BASE FGTS (Digitado)
601;ATRASO MES ATUAL
602;VALE TRANSPORTE PARCELA
603;RETIRADA ANTECIP ATUAL
604;F JUS M ATUAL
605;FA INJ MES ATUAL
606;FALTAS - DESCAN.SEM. REM - Mês Anterior
607;DEV.ADIC.1/3 A MAIOR
608;FALTAS JUSTIFICADAS
609;FERIAS RECEBIDAS INDEVI
610;DIF.PENSAO ALIMENTICIA
611;DESCONTO DIVERSOS ñ base
612;CEF EMPRESTIMO PESSOAL
613;CEF FINANCIAMENTO HABIT
614;BANCO BMG EMPRESTIMO PE
615;PARANA BANCO EMPREST. P
616;BANCO ALFA EMPRESTIMO P
617;BANCO ABN AMRO REAL S/A
618;BANCO CACIQUE S/A
619;BANCO RURAL S/A
620;BANCO INDL.COML.S/A BIC
621;BANCO LUSO BRASILEIRO S
622;BANCO PANAMERICANO S/A
623;BANCO SCHAHIN S/A
624;UNIPREV UNIAO PREVIDENC
625;BANCO BNL DO BRASIL S.A
626;MONGERAL PREVIDENCIA E
627;PORTO SEGURO CIA. DE SE
628;REAL PREVIDENCIA E SEGU
629;AUXILIO-TRANSPORTE DEDU
630;GBOEX GREMIO BENEFICENT
631;BANCO PAULISTA S/A
632;AUX TRANSPORTE DED MES ANTERIOR
633;SAL.CONTR.INSS DO 13o S
634;Acerto açao 62% - devol
635;AJUSTE CONF. LEI 13973/
636;IPREM
637;IPREM SOBRE 13o. SALARI
638;DIF. ART.37 INC XI-ANTE
639;Importancia Recebida a Maior - IPREM
640;COMPLEMENTO IPREM 13º
641;Banco Daycoval S/A
642;Ajuste - FG
643;Banco Pine S/A
644;Banco BRADESCO Financiamentos
645;Banco Ficsa S/A
645;Banco Ficsa Auxiliar
646;DESCTO ADIANT 13 SAL
647;BV Financeira S/A
648;Banco do Brasil S/A
648;Banco do Brasil S/A Auxiliar
649;DEVOL. ABONO PERMAN. RECEBIDO A MAIOR
650;CAIXA ECONOMICA FEDERAL
651;BANIF - BCO INTERN. FUNCHAL BRA
652;SINDILEX
653;BANCO SANTANDER (Brasil)
653;Banco Santander Auxiliar
654;Banco Industrial do Brasil S/A
655;Desconto consignado retroativo
656;Banco BRADESCO S/A
657;American Life Cia de Seguros
658;SICOOB Coopercredi-SP
675;Devolução Auxílio Saúde
701;1/3 Ferias mes Inicio
702;1/3 Ferias mes Fim
703;Consignacao Medial
707;Taxa mensal por estagiário
710;Evento de Consignação II
711;Evento de Consignação III
712;Evento de Consignação IV
713;Medial V
714;Medial VI
749;ADICIONAL T. SERV. - ESPECIAL
750;RECESSO REMUN.  LEI 11788
751;BASE FGTS 13º
752;BASE FGTS  SOBRE Adto de  13º
753;DEVOL RECESSO REMUNERADO ESTAGIÁRIOS
800;Base de Cálculo Contribuição Prev. Complementar
801;RENDIMENTOS TRIBUTAVEIS
802;REND. TRIBUT. NAS FERIA
803;REND. TRIBUT. SOBRE FER
804;Base de IRRF 13o salário
804;Base de Calculo IRRF 13º
805;REND. TRIBUT.DIF.3o SAL
806;BASE DE CALCULO IRRF
807;DEDUCAO DE DEPENDENTES
808;DEDUCAO DE DEPEND.P/FER
809;DEDUCAO DE DEPEND.P/13o
810;I.R.R.F. s/ ADIANTAMENTO
811;I.R.R.F. s/ 13o SALARIO
812;ABATIM.PREVIDENCIA SOCI
813;REND. TRIBUT. DISTR.LUC
814;RENDIMENTO NAO TRIBUTAV
815;ASSISTENCIA MEDICA P/I.
816;Base de Calculo INSS
817;Base de Calculo Prev. Social
817;Base de Calculo IPREM
818;Base de Cálculo SPPREV
819;BASE PARA EVENTO 163
819;Base de Cálculo RioPretoPrev
820;BASE ISENTOS
821;SAL. CONTR. INSS
822;SAL.CONTR.INSS OUTROS
823;BASE CALC.INSS EMPRESA
824;INSS EMPRESA
825;BASE PREV.13o SAL. EMPR
826;PREVIDENCIA 13o SAL.EMP
827;BASE PREV.13
828;COMPLEMENTO PREV.13o EM
829;BASE PREV.13o RES. EMPR
830;PREV.13o RES. EMPRESA
831;DEDUCAO SALARIO MATERNI
832;ADICIONAL DE RISCOS AMB
833;ADICIONAL DO R.A.T. 13o
834;ADIC.DO R.A.T. COMPL.13
835;ADIC.DO R.A.T. 13o RESC
836;13o PAGO PELA PREV.SOCI
837;Idem 166 p/24
838;Gratific.função
839;GFIP CONTRIB. DESC. EMP
840;GFIP VALOR DEVIDO PREV.
841;TOTAL DE VENCTOS
842;TOTAL DE DESCONTOS
843;TOTAL LIQUIDO
844;BASE DE CALCULO FGTS
845;F G T S  DO MES
846;BASE FGTS AFAST.ACID.TR
847;GFIP - REMUNERACAO SEM
848;GFIP - 13o SALARIO
849;GFIP INSS REMUNERACAO S
850;GFIP INSS - 13o SALARIO
851;FALTAS PARA FERIAS
852;INTEG.EM HORAS P/FERIAS
853;INTEG.EM VALOR P/FERIAS
854;INTEG.EM HORAS P/13o.SA
855;INTEG.EM VALOR P/13o.SA
856;INTEG.EM HORAS P/AV.PR.
857;INTEG.EM VALOR P/AV.PR.
858;RENDIMENTOS P/ RAIS
859;SALARIO BASE
860;13o SAL.SOBRE MATERNIDA
861;SALARIO INDIRETO
862;ACUM.DE VERBA FIXA 1
863;ACUM.DE VERBA FIXA 2
864;ACUM.DE VERBA FIXA 3
865;ACUM.DE VERBA FIXA 4
866;ACUM.DE VERBA FIXA 5
867;SALARIO DE REFERENCIA
868;BASE PRO-LABORE
869;MEDIA DE COMISSIONISTA
870;TOTAL LIQUIDO RESCISÃO
871;CONTRIBUICAO SOCIAL
872;CONTR.SOCIAL SOBRE RESC
873;CONTR.SOCIAL MULTA RESC
874;BASE 13o FGTS AC.TRAB.
875;PREVIDENCIA PRIVADA
876;PIS FOLHA
877;CONTR.SOCIAL SOBRE DEMI
878;REND. TRIBUT. DIF. PART
879;GFIP INSS BASE NEGATIVA
880;GFIP INSS BASE NEGATIVA
881;ASSOC.SERV.CMSP CONSIGNACOES
882;ASS.SERV.PUBL.MUNIC.SP CONSIGNACOES
883;SALDO DE SALARIO
884;FERIAS INDENIZADAS RESCISAO
885;FERIAS PROPORCIONAIS RESCISAO
886;1/3 FERIAS RESCISAO
887;Base Prev. - Sal. Órgão Origem
888;BASE OUTROS DESCONTOS ASSOCIACAO ( 557)
889;BASE OUTROS DESCONTOS ASSOCIACAO ( 545)
890;BASE 155 SOBRE SALARIO BASE
891;BASE 155 IPREM
892;BASE 155 VINCULO 18
893;BASE 155 VINCULO 20
894;Anterior Novembro./2003
895;310 Lancado em VALOR (SEM PREVIDENCIA)
896;310 Lancado em PERCENTUAL (SEM PREVIDENCIA)
897;Base Salarial Vale Transporte
898;Diminue do 158/160/153
899;Previdência do órgão de origem
900;310 LANCADO EM VALOR
901;Medial - Consignações
902;Colônia - Consignações
903;PROV. MENSAL - OUTROS ORGAOS (CLT)
904;Adiantamento 13º - OUTROS ORGAOS (CLT)
905;PROV 13º SAL -  OUTROS ORGAOS (CLT)Integral
906;FGTS DO MES 13º
907;Prev. 13º do órgão de origem
908;Base Prev Salario Outro Órgão - IPRED (Diadema)
909;RENDA BRUTA ISENTA DE 13º SALÁRIO
910;Base Prev Salario Outro Órgão - CAMPREV (Campinas)
911;Base Prev Salário Outro Órgão - SBCPREV (SBC)
912;Base Previd. Origem - 23C 23G
913;Base Prev 13 Salario Outro Órgão - CAMPREV (Campinas
